# cobo asad aget ch glob lsb
0 0 3 48 0 7
0 0 3 49 0 6
0 0 3 50 0 7
0 0 3 51 0 6
0 0 3 52 0 7
0 0 3 53 0 7
0 0 3 54 0 7
0 0 3 55 0 7
0 0 3 56 0 6
0 0 3 57 0 7
0 0 3 58 0 6
0 0 3 59 0 6
0 0 3 60 0 7
0 0 3 61 0 6
0 0 3 62 0 6
0 0 3 63 0 7
0 0 3 64 0 6
0 0 3 65 0 7
0 0 3 66 0 7
0 0 3 67 0 7
0 1 0 0 2 3
0 1 0 1 2 3
0 1 0 2 2 3
0 1 0 3 2 2
0 1 0 4 2 2
0 1 0 5 2 3
0 1 0 6 2 3
0 1 0 7 2 3
0 1 0 8 2 2
0 1 0 9 2 3
0 1 0 10 2 2
0 1 0 11 2 15
0 1 0 12 2 3
0 1 0 13 2 2
0 1 0 14 2 2
0 1 0 15 2 2
0 1 0 16 2 2
0 1 0 17 2 2
0 1 0 18 2 2
0 1 0 19 2 2
0 1 0 20 2 2
0 1 0 21 2 2
0 1 0 22 2 15
0 1 0 23 2 2
0 1 0 24 2 2
0 1 0 25 2 3
0 1 0 26 2 2
0 1 0 27 2 2
0 1 0 28 2 1
0 1 0 29 2 2
0 1 0 30 2 2
0 1 0 31 2 2
0 1 0 32 2 2
0 1 0 33 2 2
0 1 0 34 2 1
0 1 0 35 2 3
0 1 0 36 2 1
0 1 0 37 2 1
0 1 0 38 2 15
0 1 0 39 2 15
0 1 0 40 2 15
0 1 0 41 2 15
0 1 0 42 2 15
0 1 0 43 2 15
0 1 0 44 2 15
0 1 0 45 2 15
0 1 0 46 2 15
0 1 0 47 2 15
0 1 0 48 2 15
0 1 0 49 2 15
0 1 0 50 2 15
0 1 0 51 2 15
0 1 0 52 2 15
0 1 0 53 2 15
0 1 0 54 2 15
0 1 0 55 2 15
0 1 0 56 2 15
0 1 0 57 2 15
0 1 0 58 2 15
0 1 0 59 2 15
0 1 0 60 2 15
0 1 0 61 2 15
0 1 0 62 2 15
0 1 0 63 2 15
0 1 0 64 2 15
0 1 0 65 2 15
0 1 0 66 2 15
0 1 0 67 2 15
0 1 1 0 2 3
0 1 1 1 2 3
0 1 1 2 2 3
0 1 1 3 2 3
0 1 1 4 2 3
0 1 1 5 2 3
0 1 1 6 2 3
0 1 1 7 2 3
0 1 1 8 2 3
0 1 1 9 2 3
0 1 1 10 2 3
0 1 1 11 2 15
0 1 1 12 2 3
0 1 1 13 2 3
0 1 1 14 2 3
0 1 1 15 2 3
0 1 1 16 2 2
0 1 1 17 2 2
0 1 1 18 2 3
0 1 1 19 2 3
0 1 1 20 2 3
0 1 1 21 2 3
0 1 1 22 2 15
0 1 1 23 2 3
0 1 1 24 2 3
0 1 1 25 2 3
0 1 1 26 2 3
0 1 1 27 2 2
0 1 1 28 2 2
0 1 1 29 2 3
0 1 1 30 2 2
0 1 1 31 2 2
0 1 1 32 2 2
0 1 1 33 2 2
0 1 1 34 2 3
0 1 1 35 2 2
0 1 1 36 2 2
0 1 1 37 2 1
0 1 1 38 2 15
0 1 1 39 2 15
0 1 1 40 2 15
0 1 1 41 2 15
0 1 1 42 2 15
0 1 1 43 2 15
0 1 1 44 2 15
0 1 1 45 2 15
0 1 1 46 2 15
0 1 1 47 2 15
0 1 1 48 2 15
0 1 1 49 2 15
0 1 1 50 2 15
0 1 1 51 2 15
0 1 1 52 2 15
0 1 1 53 2 15
0 1 1 54 2 15
0 1 1 55 2 15
0 1 1 56 2 15
0 1 1 57 2 15
0 1 1 58 2 15
0 1 1 59 2 15
0 1 1 60 2 15
0 1 1 61 2 15
0 1 1 62 2 15
0 1 1 63 2 15
0 1 1 64 2 15
0 1 1 65 2 15
0 1 1 66 2 15
0 1 1 67 2 15
0 1 2 0 1 13
0 1 2 1 1 13
0 1 2 2 1 13
0 1 2 3 1 13
0 1 2 4 1 13
0 1 2 5 1 12
0 1 2 6 1 12
0 1 2 7 1 13
0 1 2 8 1 12
0 1 2 9 1 12
0 1 2 10 1 12
0 1 2 11 1 15
0 1 2 12 1 13
0 1 2 13 1 15
0 1 2 14 1 15
0 1 2 15 1 15
0 1 2 16 1 15
0 1 2 17 1 15
0 1 2 18 1 15
0 1 2 19 1 15
0 1 2 20 1 15
0 1 2 21 1 15
0 1 2 22 1 15
0 1 2 23 1 15
0 1 2 24 1 15
0 1 2 25 1 15
0 1 2 26 1 15
0 1 2 27 1 15
0 1 2 28 1 15
0 1 2 29 1 15
0 1 2 30 1 15
0 1 2 31 1 15
0 1 2 32 1 15
0 1 2 33 1 15
0 1 2 34 1 15
0 1 2 35 1 15
0 1 2 36 1 15
0 1 2 37 1 15
0 1 2 38 1 15
0 1 2 39 1 15
0 1 2 40 1 15
0 1 2 41 1 15
0 1 2 42 1 15
0 1 2 43 1 15
0 1 2 44 1 15
0 1 2 45 1 15
0 1 2 46 1 15
0 1 2 47 1 15
0 1 2 48 1 15
0 1 2 49 1 15
0 1 2 50 1 15
0 1 2 51 1 15
0 1 2 52 1 15
0 1 2 53 1 15
0 1 2 54 1 15
0 1 2 55 1 15
0 1 2 56 1 15
0 1 2 57 1 15
0 1 2 58 1 15
0 1 2 59 1 15
0 1 2 60 1 15
0 1 2 61 1 15
0 1 2 62 1 15
0 1 2 63 1 15
0 1 2 64 1 15
0 1 2 65 1 15
0 1 2 66 1 15
0 1 2 67 1 15
0 1 3 0 1 13
0 1 3 1 1 12
0 1 3 2 1 12
0 1 3 3 1 13
0 1 3 4 1 12
0 1 3 5 1 12
0 1 3 6 1 12
0 1 3 7 1 12
0 1 3 8 1 13
0 1 3 9 1 12
0 1 3 10 1 13
0 1 3 11 1 15
0 1 3 12 1 12
0 1 3 13 1 15
0 1 3 14 1 15
0 1 3 15 1 15
0 1 3 16 1 15
0 1 3 17 1 15
0 1 3 18 1 15
0 1 3 19 1 15
0 1 3 20 1 15
0 1 3 21 1 15
0 1 3 22 1 15
0 1 3 23 1 15
0 1 3 24 1 15
0 1 3 25 1 15
0 1 3 26 1 15
0 1 3 27 1 15
0 1 3 28 1 15
0 1 3 29 1 15
0 1 3 30 1 15
0 1 3 31 1 15
0 1 3 32 1 15
0 1 3 33 1 15
0 1 3 34 1 15
0 1 3 35 1 15
0 1 3 36 1 15
0 1 3 37 1 15
0 1 3 38 1 15
0 1 3 39 1 15
0 1 3 40 1 15
0 1 3 41 1 15
0 1 3 42 1 15
0 1 3 43 1 15
0 1 3 44 1 15
0 1 3 45 1 15
0 1 3 46 1 15
0 1 3 47 1 15
0 1 3 48 1 15
0 1 3 49 1 15
0 1 3 50 1 15
0 1 3 51 1 15
0 1 3 52 1 15
0 1 3 53 1 15
0 1 3 54 1 15
0 1 3 55 1 15
0 1 3 56 1 15
0 1 3 57 1 15
0 1 3 58 1 15
0 1 3 59 1 15
0 1 3 60 1 15
0 1 3 61 1 15
0 1 3 62 1 15
0 1 3 63 1 15
0 1 3 64 1 15
0 1 3 65 1 15
0 1 3 66 1 15
0 1 3 67 1 15
0 2 0 0 2 0
0 2 0 1 2 0
0 2 0 2 2 0
0 2 0 3 2 0
0 2 0 4 2 0
0 2 0 5 2 0
0 2 0 6 2 0
0 2 0 7 2 0
0 2 0 8 2 0
0 2 0 9 2 0
0 2 0 10 2 0
0 2 0 11 2 15
0 2 0 12 2 0
0 2 0 13 2 1
0 2 0 14 2 1
0 2 0 15 2 1
0 2 0 16 2 1
0 2 0 17 2 1
0 2 0 18 2 1
0 2 0 19 2 1
0 2 0 20 2 2
0 2 0 21 2 1
0 2 0 22 2 15
0 2 0 23 2 2
0 2 0 24 2 1
0 2 0 25 2 1
0 2 0 26 2 15
0 2 0 27 2 15
0 2 0 28 2 15
0 2 0 29 2 15
0 2 0 30 2 15
0 2 0 31 2 15
0 2 0 32 2 15
0 2 0 33 2 15
0 2 0 34 2 15
0 2 0 35 2 15
0 2 0 36 2 15
0 2 0 37 2 15
0 2 0 38 2 15
0 2 0 39 2 15
0 2 0 40 2 15
0 2 0 41 2 15
0 2 0 42 2 15
0 2 0 43 2 15
0 2 0 44 2 15
0 2 0 45 2 15
0 2 0 46 2 15
0 2 0 47 2 15
0 2 0 48 2 15
0 2 0 49 2 15
0 2 0 50 2 15
0 2 0 51 2 15
0 2 0 52 2 15
0 2 0 53 2 15
0 2 0 54 2 15
0 2 0 55 2 15
